"","id","name","date_from","date_to","lat_end","lon_end","species_count","taxon_count","record_count","imis_dasid","date_last_harvested"
"82",2500,"Atlantic Pollock",1965,2011,61.883,12.879,210,296,2960513,2763,"9/28/2016 19:31:45"
"83",2419,"Atlantic Pollock",1975,2010,60.22,174.784,761,788,2874,4015,"9/28/2016 22:38:13"
"84",3064,"Atlantic Pollock",2003,2011,55.401,-5.432,689,939,31210,4537,"9/29/2016 4:12:03"
"85",230,"Atlantic Pollock",1903,1909,41.75,-69.79,1305,1433,46294,3436,"2/6/2008 0:00:00"
"86",1693,"Atlantic Pollock",2000,2009,44.776,-66.928,125,147,38661,3829,"9/15/2010 0:00:00"
"87",3125,"Atlantic Pollock",1970,2009,59.128,1.599,927,1087,3512,3187,"9/29/2016 6:48:10"
"88",38,"Atlantic Pollock",1970,1995,69.53,-6.57,266,273,466736,4106,"8/10/2007 0:00:00"
"89",30,"Atlantic Pollock",1903,2000,56,55,101,148,4089,4132,"10/31/2011 0:00:00"
"90",2557,"Atlantic Pollock",1753,1990,65.38,22.732,40,43,11389,3145,"9/28/2016 22:48:37"
"91",3067,"Atlantic Pollock",1786,2008,57.75,-4.891,134,140,1135,4536,"9/29/2016 4:01:03"
"92",89,"Atlantic Pollock",1976,2007,58.965,1.136,431,611,10046,641,"9/29/2016 4:34:46"
"93",2530,"Atlantic Pollock",1987,2011,60.752,8.5,169,198,390947,2761,"9/29/2016 6:18:07"
"94",3414,"Atlantic Pollock",2007,2013,41.436,-70.868,191,219,37190,4883,"4/24/2016 23:45:09"
"95",2493,"Atlantic Pollock",2003,2008,56.49,-3.459,173,208,169548,2762,"9/29/2016 0:35:54"
"96",2671,"Atlantic Pollock",1833,2012,52.11,-55.4,140,185,27546,4309,"9/29/2016 18:23:22"
"97",268,"Atlantic Pollock",1840,2007,80.2,179.9,8131,9636,114408,1984,"7/17/2008 0:00:00"
"98",1512,"Atlantic Pollock",1999,2008,55.276,-2.207,611,854,6000,1947,"9/29/2016 5:39:12"
"99",3429,"Atlantic Pollock",2007,2013,79.95,42.686,108,229,5269,4444,"9/28/2016 17:24:56"
"100",29,"Atlantic Pollock",1905,2015,85.808,145.833,1995,2747,139692,4108,"9/29/2016 17:20:50"
"101",2666,"Atlantic Pollock",2000,2009,57.883,-42.5,130,217,61068,4304,"6/28/2013 0:00:00"
"102",97,"Atlantic Pollock",1911,2014,60.675,0.464,1714,2478,93315,690,"9/28/2016 16:37:38"
"103",1660,"Atlantic Pollock",1973,1980,35.27,-75.1,199,455,10395,3834,"7/12/2010 0:00:00"
"104",1987,"Atlantic Pollock",1954,2000,60.858,7.055,2882,4076,584476,621,"9/29/2016 2:16:14"
"105",129,"Bluefish",1829,2005,60.467,179.14,1779,2205,15136,3442,"7/7/2006 0:00:00"
"106",1509,"Bluefish",0,0,-17.25,16.933,120,145,488,3398,"11/30/2009 0:00:00"
"107",1504,"Bluefish",1988,2000,34.61,-76.09,90,101,15106,3836,"10/8/2009 0:00:00"
