"","Name","descriptio","timestamp","begin","end","altitudeMo","tessellate","extrude","visibility","drawOrder","icon","Country","YearCollec","Collector","Locality","Url","CatalogNum","name","coords.x1","coords.x2","optional"
"34",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796188"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1796188</a>","FB 2810599","Albacore Tuna",-18.75,8.75,TRUE
"35",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798509"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1798509</a>","FB 2812920","Albacore Tuna",-13.75,53.75,TRUE
"36",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797781"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1797781</a>","FB 2812192","Albacore Tuna",-8.75,38.75,TRUE
"37",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794862"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1794862</a>","FB 2809273","Albacore Tuna",-3.75,-28.75,TRUE
"38",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1791002"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1791002</a>","FB 2805413","Albacore Tuna",8.75,38.75,TRUE
"39",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1988",NA,"Kunene River","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25894270"">http://data.gbif.org/ws/rest/occurrence/get/25894270</a>","MCM-LINE-413685","Albacore Tuna",11.7483,-17.2486,TRUE
"40",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,"<a href=""http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1789890"">http://www.fishbase.org/Museum/SpecOccurrences.php?catnum2=1789890</a>","FB 2804301","Albacore Tuna",13.75,3.75,TRUE
"41",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1992",NA,"Easter Point","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80833580"">http://data.gbif.org/ws/rest/occurrence/get/80833580</a>","MCM-LINE-1157118","Albacore Tuna",14.8167,-25.3,TRUE
"42",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1992",NA,"Spencer Bay","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80833242"">http://data.gbif.org/ws/rest/occurrence/get/80833242</a>","MCM-LINE-1146468","Albacore Tuna",14.8456,-25.7186,TRUE
"43",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1992",NA,"Spencer Bay","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80835511"">http://data.gbif.org/ws/rest/occurrence/get/80835511</a>","MCM-LINE-1199668","Albacore Tuna",14.8456,-25.7186,TRUE
"44",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443460"">http://data.gbif.org/ws/rest/occurrence/get/25443460</a>","MCM-LINE-015808","Albacore Tuna",15.1625,-26.6307,TRUE
"45",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443529"">http://data.gbif.org/ws/rest/occurrence/get/25443529</a>","MCM-LINE-016270","Albacore Tuna",15.1625,-26.6307,TRUE
"46",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443593"">http://data.gbif.org/ws/rest/occurrence/get/25443593</a>","MCM-LINE-017149","Albacore Tuna",15.1625,-26.6307,TRUE
"47",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443636"">http://data.gbif.org/ws/rest/occurrence/get/25443636</a>","MCM-LINE-017676","Albacore Tuna",15.1625,-26.6307,TRUE
"48",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443672"">http://data.gbif.org/ws/rest/occurrence/get/25443672</a>","MCM-LINE-017845","Albacore Tuna",15.1625,-26.6307,TRUE
"49",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443731"">http://data.gbif.org/ws/rest/occurrence/get/25443731</a>","MCM-LINE-018262","Albacore Tuna",15.1625,-26.6307,TRUE
"50",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443778"">http://data.gbif.org/ws/rest/occurrence/get/25443778</a>","MCM-LINE-018896","Albacore Tuna",15.1625,-26.6307,TRUE
"51",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25443851"">http://data.gbif.org/ws/rest/occurrence/get/25443851</a>","MCM-LINE-019818","Albacore Tuna",15.1625,-26.6307,TRUE
"52",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25495529"">http://data.gbif.org/ws/rest/occurrence/get/25495529</a>","MCM-LINE-061688","Albacore Tuna",15.1625,-26.6307,TRUE
"53",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25495716"">http://data.gbif.org/ws/rest/occurrence/get/25495716</a>","MCM-LINE-077505","Albacore Tuna",15.1625,-26.6307,TRUE
"54",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1985",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25496448"">http://data.gbif.org/ws/rest/occurrence/get/25496448</a>","MCM-LINE-086337","Albacore Tuna",15.1625,-26.6307,TRUE
"55",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1986",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25571903"">http://data.gbif.org/ws/rest/occurrence/get/25571903</a>","MCM-LINE-100048","Albacore Tuna",15.1625,-26.6307,TRUE
"56",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1986",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25572334"">http://data.gbif.org/ws/rest/occurrence/get/25572334</a>","MCM-LINE-110870","Albacore Tuna",15.1625,-26.6307,TRUE
"57",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1986",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25572763"">http://data.gbif.org/ws/rest/occurrence/get/25572763</a>","MCM-LINE-119385","Albacore Tuna",15.1625,-26.6307,TRUE
"58",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1986",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25573071"">http://data.gbif.org/ws/rest/occurrence/get/25573071</a>","MCM-LINE-124954","Albacore Tuna",15.1625,-26.6307,TRUE
"59",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1987",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/25730146"">http://data.gbif.org/ws/rest/occurrence/get/25730146</a>","MCM-LINE-270226","Albacore Tuna",15.1625,-26.6307,TRUE
"60",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1990",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80276085"">http://data.gbif.org/ws/rest/occurrence/get/80276085</a>","MCM-LINE-736739","Albacore Tuna",15.1625,-26.6307,TRUE
"61",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1990",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80278618"">http://data.gbif.org/ws/rest/occurrence/get/80278618</a>","MCM-LINE-756708","Albacore Tuna",15.1625,-26.6307,TRUE
"62",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1990",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80282038"">http://data.gbif.org/ws/rest/occurrence/get/80282038</a>","MCM-LINE-773983","Albacore Tuna",15.1625,-26.6307,TRUE
"63",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1990",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80376901"">http://data.gbif.org/ws/rest/occurrence/get/80376901</a>","MCM-LINE-832096","Albacore Tuna",15.1625,-26.6307,TRUE
"64",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1993",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/80976151"">http://data.gbif.org/ws/rest/occurrence/get/80976151</a>","MCM-LINE-1301244","Albacore Tuna",15.1625,-26.6307,TRUE
"65",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1994",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/81189364"">http://data.gbif.org/ws/rest/occurrence/get/81189364</a>","MCM-LINE-1423723","Albacore Tuna",15.1625,-26.6307,TRUE
"66",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1996",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/27799573"">http://data.gbif.org/ws/rest/occurrence/get/27799573</a>","MCM-LINE-1709634","Albacore Tuna",15.1625,-26.6307,TRUE
"67",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1996",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/27800627"">http://data.gbif.org/ws/rest/occurrence/get/27800627</a>","MCM-LINE-1745293","Albacore Tuna",15.1625,-26.6307,TRUE
"68",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1997",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/28096462"">http://data.gbif.org/ws/rest/occurrence/get/28096462</a>","MCM-LINE-1880047","Albacore Tuna",15.1625,-26.6307,TRUE
"69",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1998",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/27147339"">http://data.gbif.org/ws/rest/occurrence/get/27147339</a>","MCM-LINE-1983898","Albacore Tuna",15.1625,-26.6307,TRUE
"70",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","1999",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26893052"">http://data.gbif.org/ws/rest/occurrence/get/26893052</a>","MCM-LINE-2174596","Albacore Tuna",15.1625,-26.6307,TRUE
"71",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2000",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26212567"">http://data.gbif.org/ws/rest/occurrence/get/26212567</a>","MCM-LINE-2251272","Albacore Tuna",15.1625,-26.6307,TRUE
"72",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2000",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26212800"">http://data.gbif.org/ws/rest/occurrence/get/26212800</a>","MCM-LINE-2256928","Albacore Tuna",15.1625,-26.6307,TRUE
"73",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2000",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26213298"">http://data.gbif.org/ws/rest/occurrence/get/26213298</a>","MCM-LINE-2269823","Albacore Tuna",15.1625,-26.6307,TRUE
"74",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2000",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26213458"">http://data.gbif.org/ws/rest/occurrence/get/26213458</a>","MCM-LINE-2273418","Albacore Tuna",15.1625,-26.6307,TRUE
"75",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2000",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26213629"">http://data.gbif.org/ws/rest/occurrence/get/26213629</a>","MCM-LINE-2276156","Albacore Tuna",15.1625,-26.6307,TRUE
"76",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2000",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26214052"">http://data.gbif.org/ws/rest/occurrence/get/26214052</a>","MCM-LINE-2282226","Albacore Tuna",15.1625,-26.6307,TRUE
"77",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2001",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26360073"">http://data.gbif.org/ws/rest/occurrence/get/26360073</a>","MCM-LINE-2397867","Albacore Tuna",15.1625,-26.6307,TRUE
"78",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2001",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26360513"">http://data.gbif.org/ws/rest/occurrence/get/26360513</a>","MCM-LINE-2404174","Albacore Tuna",15.1625,-26.6307,TRUE
"79",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2001",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26361223"">http://data.gbif.org/ws/rest/occurrence/get/26361223</a>","MCM-LINE-2410771","Albacore Tuna",15.1625,-26.6307,TRUE
"80",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441152"">http://data.gbif.org/ws/rest/occurrence/get/26441152</a>","MCM-LINE-2479310","Albacore Tuna",15.1625,-26.6307,TRUE
"81",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441315"">http://data.gbif.org/ws/rest/occurrence/get/26441315</a>","MCM-LINE-2481913","Albacore Tuna",15.1625,-26.6307,TRUE
"82",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441435"">http://data.gbif.org/ws/rest/occurrence/get/26441435</a>","MCM-LINE-2483630","Albacore Tuna",15.1625,-26.6307,TRUE
"83",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441499"">http://data.gbif.org/ws/rest/occurrence/get/26441499</a>","MCM-LINE-2484721","Albacore Tuna",15.1625,-26.6307,TRUE
"84",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441612"">http://data.gbif.org/ws/rest/occurrence/get/26441612</a>","MCM-LINE-2487193","Albacore Tuna",15.1625,-26.6307,TRUE
"85",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441736"">http://data.gbif.org/ws/rest/occurrence/get/26441736</a>","MCM-LINE-2488836","Albacore Tuna",15.1625,-26.6307,TRUE
"86",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441805"">http://data.gbif.org/ws/rest/occurrence/get/26441805</a>","MCM-LINE-2490302","Albacore Tuna",15.1625,-26.6307,TRUE
"87",NA,NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"South Africa","2002",NA,"Luderitz","<a href=""http://data.gbif.org/ws/rest/occurrence/get/26441913"">http://data.gbif.org/ws/rest/occurrence/get/26441913</a>","MCM-LINE-2492190","Albacore Tuna",15.1625,-26.6307,TRUE
